person,finger,simple
100,f1,10
100,f1,11
100,f1,12
100,f1,13
100,f1,14
100,f1,15
100,f1,16
100,f1,17
100,f1,18
100,f1,19
100,f1,20
100,f1,21
100,f1,22
100,f1,23
100,f1,24
100,f1,25
100,f1,26
100,f1,27
100,f1,28
100,f1,29
100,f1,30
100,f1,31
100,f1,32
100,f1,33
100,f1,34
100,f1,35
100,f1,36
100,f1,37
100,f1,38
100,f1,39
100,f1,40
100,f1,41
100,f1,42
100,f1,43
100,f1,44
100,f1,45
100,f1,46
100,f1,47
100,f1,48
100,f1,49
100,f1,50
100,f1,51
100,f1,52
100,f1,53
100,f1,54
100,f1,55
100,f1,56
100,f1,57
100,f1,58
100,f1,59
100,f1,60
100,f1,61
100,f1,62
100,f1,63
100,f1,64
100,f1,65
100,f1,66
100,f1,67
100,f1,68
100,f1,69
100,f1,70
100,f1,71
100,f1,72
100,f1,73
100,f1,74
100,f1,75
100,f1,76
100,f1,77
100,f1,78
100,f1,79
100,f1,80
100,f1,81
100,f1,82
100,f1,83
100,f1,84
100,f1,85
100,f1,86
100,f1,87
100,f1,88
100,f1,89
100,f1,90
100,f1,91
100,f1,92
100,f1,93
100,f1,94
100,f1,95
100,f1,96
100,f1,97
100,f1,98
100,f1,99
100,f2,10
100,f2,11
100,f2,12
100,f2,13
100,f2,14
100,f2,15
100,f2,16
100,f2,17
100,f2,18
100,f2,19
100,f2,20
100,f2,21
100,f2,22
100,f2,23
100,f2,24
100,f2,25
100,f2,26
100,f2,27
100,f2,28
100,f2,29
100,f2,30
100,f2,31
100,f2,32
100,f2,33
100,f2,34
100,f2,35
100,f2,36
100,f2,37
100,f2,38
100,f2,39
100,f2,40
100,f2,41
100,f2,42
100,f2,43
100,f2,44
100,f2,45
100,f2,46
100,f2,47
100,f2,48
100,f2,49
100,f2,50
100,f2,51
100,f2,52
100,f2,53
100,f2,54
100,f2,55
100,f2,56
100,f2,57
100,f2,58
100,f2,59
100,f2,60
100,f2,61
100,f2,62
100,f2,63
100,f2,64
100,f2,65
100,f2,66
100,f2,67
100,f2,68
100,f2,69
100,f2,70
100,f2,71
100,f2,72
100,f2,73
100,f2,74
100,f2,75
100,f2,76
100,f2,77
100,f2,78
100,f2,79
100,f2,80
100,f2,81
100,f2,82
100,f2,83
100,f2,84
100,f2,85
100,f2,86
100,f2,87
100,f2,88
100,f2,89
100,f2,90
100,f2,91
100,f2,92
100,f2,93
100,f2,94
100,f2,95
100,f2,96
100,f2,97
100,f2,98
100,f2,99
101,f1,10
101,f1,11
101,f1,12
101,f1,13
101,f1,14
101,f1,15
101,f1,16
101,f1,17
101,f1,18
101,f1,19
101,f1,20
101,f1,21
101,f1,22
101,f1,23
101,f1,24
101,f1,25
101,f1,26
101,f1,27
101,f1,28
101,f1,29
101,f1,30
101,f1,31
101,f1,32
101,f1,33
101,f1,34
101,f1,35
101,f1,36
101,f1,37
101,f1,38
101,f1,39
101,f1,40
101,f1,41
101,f1,42
101,f1,43
101,f1,44
101,f1,45
101,f1,46
101,f1,47
101,f1,48
101,f1,49
101,f1,50
101,f1,51
101,f1,52
101,f1,53
101,f1,54
101,f1,55
101,f1,56
101,f1,57
101,f1,58
101,f1,59
101,f1,60
101,f1,61
101,f1,62
101,f1,63
101,f1,64
101,f1,65
101,f1,66
101,f1,67
101,f1,68
101,f1,69
101,f1,70
101,f1,71
101,f1,72
101,f1,73
101,f1,74
101,f1,75
101,f1,76
101,f1,77
101,f1,78
101,f1,79
101,f1,80
101,f1,81
101,f1,82
101,f1,83
101,f1,84
101,f1,85
101,f1,86
101,f1,87
101,f1,88
101,f1,89
101,f1,90
101,f1,91
101,f1,92
101,f1,93
101,f1,94
101,f1,95
101,f1,96
101,f1,97
101,f1,98
101,f1,99
101,f2,10
101,f2,11
101,f2,12
101,f2,13
101,f2,14
101,f2,15
101,f2,16
101,f2,17
101,f2,18
101,f2,19
101,f2,20
101,f2,21
101,f2,22
101,f2,23
101,f2,24
101,f2,25
101,f2,26
101,f2,27
101,f2,28
101,f2,29
101,f2,30
101,f2,31
101,f2,32
101,f2,33
101,f2,34
101,f2,35
101,f2,36
101,f2,37
